w ang1 ang2 absval 
5.4954087386 -1.3110223454 -4.0926139210 0.1730907038 
5.7543993734 -1.3216861280 -4.1191552727 0.1659830369 
6.0255958607 -1.3319907520 -4.1446638916 0.1591164995 
6.3095734448 -1.3419390332 -4.1691678001 0.1524886687 
6.6069344801 -1.3515349744 -4.1926956950 0.1460964532 
6.9183097092 -1.3607836133 -4.2152767462 0.1399361716 
7.2443596007 -1.3696908790 -4.2369404131 0.1340036285 
7.5857757503 -1.3782634581 -4.2577162798 0.1282941879 
7.9432823472 -1.3865086689 -4.2776339074 0.1228028428 
8.3176377110 -1.3944343478 -4.2967227034 0.1175242811 
8.7096358996 -1.4020487442 -4.3150118077 0.1124529457 
9.1201083936 -1.4093604268 -4.3325299934 0.1075830902 
9.5499258602 -1.4163781990 -4.3493055821 0.1029088294 
10.0000000000 -1.4231110237 -4.3653663723 0.0984241848 
10.4712854805 -1.4295679574 -4.3807395794 0.0941231251 
10.9647819614 -1.4357580919 -4.3954517871 0.0899996016 
11.4815362150 -1.4416905041 -4.4095289081 0.0860475803 
12.0226443462 -1.4473742126 -4.4229961540 0.0822610686 
12.5892541179 -1.4528181404 -4.4358780126 0.0786341390 
13.1825673856 -1.4580310839 -4.4481982324 0.0751609490 
13.8038426460 -1.4630216864 -4.4599798125 0.0718357578 
14.4543977075 -1.4677984169 -4.4712449986 0.0686529404 
15.1356124844 -1.4723695522 -4.4820152830 0.0656069987 
15.8489319246 -1.4767431632 -4.4923114082 0.0626925708 
16.5958690744 -1.4809271042 -4.5021533745 0.0599044379 
17.3780082875 -1.4849290048 -4.5115604498 0.0572375296 
18.1970085861 -1.4887562643 -4.5205511822 0.0546869276 
19.0546071796 -1.4924160487 -4.5291434139 0.0522478680 
19.9526231497 -1.4959152882 -4.5373542972 0.0499157426 
20.8929613085 -1.4992606779 -4.5452003113 0.0476860992 
21.8776162395 -1.5024586783 -4.5526972804 0.0455546403 
22.9086765277 -1.5055155177 -4.5598603924 0.0435172225 
23.9883291902 -1.5084371954 -4.5667042178 0.0415698540 
25.1188643151 -1.5112294858 -4.5732427292 0.0397086923 
26.3026799190 -1.5138979424 -4.5794893210 0.0379300413 
27.5422870334 -1.5164479031 -4.5854568292 0.0362303476 
28.8403150313 -1.5188844957 -4.5911575505 0.0346061976 
30.1995172040 -1.5212126433 -4.5966032619 0.0330543137 
31.6227766017 -1.5234370703 -4.6018052399 0.0315715499 
33.1131121483 -1.5255623084 -4.6067742791 0.0301548883 
34.6736850453 -1.5275927030 -4.6115207108 0.0288014352 
36.3078054770 -1.5295324189 -4.6160544207 0.0275084164 
38.0189396321 -1.5313854468 -4.6203848669 0.0262731737 
39.8107170553 -1.5331556096 -4.6245210965 0.0250931606 
41.6869383470 -1.5348465679 -4.6284717625 0.0239659383 
43.6515832240 -1.5364618267 -4.6322451398 0.0228891718 
45.7088189615 -1.5380047407 -4.6358491406 0.0218606258 
47.8630092323 -1.5394785204 -4.6392913299 0.0208781613 
50.1187233627 -1.5408862378 -4.6425789393 0.0199397314 
52.4807460250 -1.5422308314 -4.6457188819 0.0190433777 
54.9540873858 -1.5435151123 -4.6487177650 0.0181872271 
57.5439937337 -1.5447417687 -4.6515819038 0.0173694882 
60.2559586074 -1.5459133712 -4.6543173334 0.0165884478 
